transaction_id,account_id,tx_datetime,amount,channel,counterparty_country_code
TX000001,ACC12345,2024-04-12 21:00:42,-13303.92,SmartApp,DE
TX000002,ACC12345,2022-03-17 07:30:15,2760.05,Cash,CN
TX000003,ACC12345,2022-06-09 21:28:09,8258.05,EFT,DE
TX000004,ACC12345,2022-01-22 12:39:52,3449.55,EFT,DE
TX000005,ACC12345,2025-01-22 04:25:02,7210.81,Cash,DE
TX000006,ACC12345,2023-06-19 06:53:05,6889.14,EFT,ZA
TX000007,ACC12345,2023-08-01 21:31:17,-13275.09,EFT,ZA
TX000008,ACC12345,2025-05-06 03:32:37,-8233.53,SmartApp,GB
TX000009,ACC12345,2023-10-07 07:03:25,3930.77,Cash,ZA
TX000010,ACC12345,2022-07-27 17:09:37,8103.16,EFT,CN
TX000011,ACC12345,2025-01-08 09:20:40,-3583.59,EFT,ZA
TX000012,ACC12345,2024-11-30 10:31:12,-2115.15,EFT,AU
TX000013,ACC12345,2022-05-21 08:36:28,4474.04,Cash,ZA
TX000014,ACC12345,2024-03-04 22:41:48,-12319.5,Cash,ZA
TX000015,ACC12345,2025-05-19 11:19:07,6456.11,EFT,ZA
TX000016,ACC12345,2025-05-14 13:21:00,-6020.21,SmartApp,ZA
TX000017,ACC12345,2023-05-22 03:25:39,6269.16,SmartApp,ZA
TX000018,ACC12345,2023-12-03 02:00:31,7992.69,EFT,DE
TX000019,ACC12345,2023-11-03 15:26:14,2087.08,EFT,ZA
TX000020,ACC12345,2024-06-20 17:10:37,6262.46,SmartApp,ZA
TX000021,ACC12345,2024-03-02 14:43:39,5655.95,SmartApp,ZA
TX000022,ACC12345,2022-03-05 01:01:27,-13361.31,Cash,ZA
TX000023,ACC12345,2023-03-10 10:25:05,-310045.12,SmartApp,ZA
TX000024,ACC12345,2022-10-15 13:13:40,1428.36,SmartApp,ZA
TX000025,ACC12345,2023-06-27 05:13:34,1263.58,EFT,CN
TX000026,ACC12345,2024-12-05 15:03:16,-14716.16,SmartApp,ZA
TX000027,ACC12345,2024-10-07 15:29:47,-3165.51,SmartApp,ZA
TX000028,ACC12345,2022-03-22 20:04:36,-8729.82,SmartApp,ZA
TX000029,ACC12345,2024-04-16 12:37:47,1648.86,EFT,ZA
TX000030,ACC12345,2024-07-15 08:07:08,1936.53,SmartApp,CN
TX000031,ACC12345,2023-09-16 05:10:40,2134.58,SmartApp,ZA
TX000032,ACC12345,2023-12-25 11:16:49,-14413.13,EFT,ZA
TX000033,ACC12345,2022-05-19 20:06:08,-5331.04,Cash,ZA
TX000034,ACC12345,2024-09-26 20:45:32,8536.49,Cash,ZA
TX000035,ACC12345,2023-12-19 11:19:21,1475.62,EFT,ZA
TX000036,ACC12345,2022-03-25 08:58:14,8871.63,Cash,US
TX000037,ACC12345,2025-06-25 18:06:45,-4524.39,EFT,US
TX000038,ACC12345,2023-02-08 10:58:12,3111.25,EFT,ZA
TX000039,ACC12345,2022-08-21 09:55:28,-6508.58,EFT,ZA
TX000040,ACC12345,2023-03-15 13:46:51,9924.16,Cash,AU
TX000041,ACC12345,2024-04-18 02:36:05,7297.47,Cash,ZA
TX000042,ACC12345,2023-10-01 21:11:50,5312.64,EFT,DE
TX000043,ACC12345,2023-06-12 12:32:52,-10634.93,Cash,ZA
TX000044,ACC12345,2022-01-18 09:54:44,5043.21,EFT,ZA
TX000045,ACC12345,2022-02-18 22:48:27,-6549.13,EFT,ZA
TX000046,ACC12345,2025-06-29 05:57:59,-3385.93,SmartApp,GB
TX000047,ACC12345,2022-04-10 06:26:54,-9347.53,SmartApp,ZA
TX000048,ACC12345,2024-08-22 15:23:06,4102.0,EFT,ZA
TX000049,ACC12345,2023-03-01 03:31:16,5643.71,Cash,ZA
TX000050,ACC12345,2022-07-06 01:40:10,2043.67,EFT,BR
TX000051,ACC12345,2023-04-05 12:07:01,-6267.23,SmartApp,ZA
TX000052,ACC12345,2022-08-12 06:12:18,-10690.81,Cash,ZA
TX000053,ACC12345,2022-10-27 23:50:56,4650.53,Cash,ZA
TX000054,ACC12345,2024-06-01 00:17:02,11554.84,SmartApp,NG
TX000055,ACC12345,2022-10-01 16:07:21,-3332.65,SmartApp,NG
TX000056,ACC12345,2024-03-24 00:44:10,-5492.47,EFT,ZA
TX000057,ACC12345,2024-11-14 16:21:09,6597.97,EFT,AU
TX000058,ACC12345,2024-05-08 14:37:56,2309.27,SmartApp,ZA
TX000059,ACC12345,2024-11-03 20:03:19,5444.3,EFT,ZA
TX000060,ACC12345,2024-12-01 14:38:23,3153.5,SmartApp,ZA
TX000061,ACC12345,2022-02-20 09:10:15,-5681.61,EFT,NG
TX000062,ACC12345,2023-07-20 02:25:24,3817.98,SmartApp,ZA
TX000063,ACC12345,2023-05-25 04:03:02,5050.37,EFT,ZA
TX000064,ACC12345,2022-05-16 10:13:40,7533.35,Cash,ZA
TX000065,ACC12345,2025-03-19 17:50:36,-10377.13,Cash,CN
TX000066,ACC12345,2024-05-24 14:37:21,-11732.16,SmartApp,BR
TX000067,ACC12345,2022-09-03 22:50:23,591.72,EFT,ZA
TX000068,ACC12345,2022-08-28 09:32:19,322.96,EFT,GB
